id,visit_date_time
303,"2023-04-26 10:20:22.307869"
304,"2023-04-26 10:26:59.654272"
305,"2023-04-26 10:27:16.588794"
306,"2023-04-26 10:27:24.405205"
307,"2023-04-26 10:27:33.147943"
308,"2023-04-26 10:27:47.635867"
309,"2023-04-26 10:30:18.688451"
310,"2023-04-26 10:32:24.614092"
311,"2023-04-26 10:38:11.413985"
312,"2023-04-26 10:39:34.528511"
313,"2023-04-26 10:40:47.268301"
314,"2023-04-26 10:41:18.447526"
315,"2023-04-26 10:41:32.187479"
316,"2023-04-26 10:41:35.790119"
317,"2023-04-26 10:41:40.716198"
318,"2023-04-26 10:41:44.132550"
319,"2023-04-26 13:03:42.904523"
320,"2023-04-26 13:12:18.337525"
321,"2023-04-26 13:12:28.098859"
322,"2023-04-26 13:12:40.432088"
323,"2023-04-26 13:12:45.165383"
324,"2023-04-26 13:12:49.840099"
325,"2023-04-26 13:12:57.447539"
326,"2023-04-26 13:16:01.261484"
327,"2023-04-26 13:16:12.081668"
328,"2023-04-26 13:16:54.533828"
329,"2023-04-26 13:17:13.892804"
330,"2023-04-26 13:19:03.533619"
331,"2023-04-26 13:34:18.298177"
332,"2023-04-26 13:34:25.094119"
333,"2023-04-26 13:35:32.134462"
334,"2023-04-26 13:39:23.052139"
335,"2023-04-26 13:41:39.224442"
336,"2023-04-26 13:41:58.135708"
337,"2023-04-26 13:42:07.306752"
338,"2023-04-26 13:42:39.376157"
339,"2023-04-26 13:42:59.880745"
340,"2023-04-26 13:44:25.334656"
341,"2023-04-26 13:44:47.646975"
342,"2023-04-26 13:44:57.331730"
343,"2023-04-26 13:47:17.553202"
344,"2023-04-26 13:50:38.930651"
345,"2023-04-26 14:00:37.860488"
346,"2023-04-26 14:00:44.868339"
347,"2023-04-27 09:06:38.940220"
348,"2023-04-27 09:06:47.416128"
349,"2023-04-27 09:09:07.824528"
350,"2023-04-27 09:09:14.415330"
351,"2023-04-27 09:10:19.658160"
352,"2023-04-27 09:16:07.782939"
353,"2023-04-27 09:18:47.756725"
354,"2023-04-27 09:21:21.789801"
355,"2023-04-27 09:21:23.393149"
356,"2023-04-27 09:21:26.970767"
357,"2023-04-27 09:21:32.804097"
358,"2023-04-27 09:21:34.865806"
359,"2023-04-27 09:21:37.207641"
360,"2023-04-27 09:21:40.302193"
361,"2023-04-27 09:21:42.264609"
362,"2023-04-27 09:21:45.654275"
363,"2023-04-27 09:22:17.430111"
364,"2023-04-27 09:22:25.388722"
365,"2023-04-27 09:22:29.948737"
366,"2023-04-27 09:22:47.341368"
367,"2023-04-27 09:22:50.064012"
368,"2023-04-27 09:22:53.378217"
369,"2023-04-27 09:22:58.233226"
370,"2023-04-27 09:23:02.177084"
371,"2023-04-27 09:23:55.333431"
372,"2023-04-27 09:24:02.879006"
373,"2023-04-27 09:27:36.298566"
374,"2023-04-27 09:27:40.622723"
375,"2023-04-27 09:30:13.354174"
